# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 14 09:46:38 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
rowid,pl_hostname,ra,dec
153,HAT-P-26,213.156387,4.059997
154,HAT-P-27,222.767441,5.947368
155,HAT-P-28,13.000766,34.728413
156,HAT-P-29,33.131142,51.778759
157,HAT-P-3,206.094110,48.028670
158,HAT-P-30,123.949898,5.836719
159,HAT-P-31,271.537720,26.426662
160,HAT-P-32,31.042849,46.687836
161,HAT-P-33,113.184212,33.835052
162,HAT-P-34,303.195343,18.104868
163,HAT-P-35,123.250763,4.787023
164,HAT-P-36,188.266251,44.915352
165,HAT-P-37,284.296051,51.269138
166,HAT-P-38,35.383232,32.246151
167,HAT-P-39,113.758247,17.830082
168,HAT-P-4,229.991355,36.229620
169,HAT-P-40,335.512848,45.457378
170,HAT-P-41,297.322662,4.672421
171,HAT-P-42,135.344391,6.097230
172,HAT-P-43,128.925735,10.206653
173,HAT-P-44,213.144073,47.014687
174,HAT-P-44,213.144073,47.014687
175,HAT-P-45,274.373230,-3.381036
176,HAT-P-46,270.444214,-2.970947
177,HAT-P-49,305.441406,26.692652
178,HAT-P-5,274.405487,36.621410
179,HAT-P-54,99.898003,25.482540
180,HAT-P-55,264.273438,25.731186
181,HAT-P-56,100.848038,27.252293
182,HAT-P-6,354.774231,42.465973
183,HAT-P-7,292.247314,47.969513
184,HAT-P-8,343.041077,35.447109
185,HAT-P-9,110.168526,37.140652
186,HATS-1,175.525330,-23.354836
187,HATS-10,294.306824,-22.204477
188,HATS-13,316.961456,-26.096655
189,HATS-14,313.215485,-25.687334
190,HATS-2,176.739090,-22.562992
191,HATS-3,312.457428,-24.428793
192,HATS-4,94.112076,-22.546885
193,HATS-5,67.222870,-21.481916
194,HATS-6,88.146797,-19.031656
195,HATS-8,294.941742,-25.748318
196,HATS-9,290.810089,-20.166317
197,HD 100546,173.356003,-70.194786
198,HD 100655,173.765640,20.441545
199,HD 100777,173.964676,-4.755697
200,HD 10180,24.473234,-60.511528
201,HD 10180,24.473234,-60.511528
202,HD 10180,24.473234,-60.511528
203,HD 10180,24.473234,-60.511528
204,HD 10180,24.473234,-60.511528
205,HD 10180,24.473234,-60.511528
206,HD 101930,175.875458,-58.006886
207,HD 102117,176.210251,-58.703709
208,HD 102195,176.426224,2.821483
209,HD 102272,176.598068,14.123986
210,HD 102329,176.694351,3.474293
211,HD 102365,176.629471,-40.500355
212,HD 102956,177.843796,57.640736
213,HD 103197,178.220749,-50.292824
214,HD 103720,179.171600,-2.778953
215,HD 103774,179.231628,-12.107909
216,HD 104067,179.791702,-20.353781
217,HD 10442,25.471457,2.704376
218,HD 104985,181.312988,76.905731
219,HD 106252,183.372955,10.041638
220,HD 106270,183.405350,-9.513381
221,HD 10647,25.622149,-53.740833
222,HD 106515 A,183.777359,-7.257327
223,HD 106906,184.471634,-55.975525
224,HD 10697,26.232603,20.083149
225,HD 107148,184.806213,-3.319789
226,HD 108147,186.442780,-64.022087
227,HD 108341,186.880798,-71.422974
228,HD 108863,187.582962,21.948244
229,HD 108874,187.612015,22.879829
